Date,App_Name,Category,Minutes_Used
2026-07-18,Instagram,Social Media,95
2026-07-18,YouTube,Entertainment,60
2026-07-18,LeetCode,Coding,50
2026-07-18,WhatsApp,Social Media,40
2026-07-19,Instagram,Social Media,110
2026-07-19,Netflix,Entertainment,90
2026-07-19,VS Code,Coding,30
2026-07-19,Coursera,Education,20
2026-07-20,Twitter,Social Media,70
2026-07-20,YouTube,Entertainment,85
2026-07-20,LeetCode,Coding,75
2026-07-20,WhatsApp,Social Media,35
2026-07-21,Instagram,Social Media,130
2026-07-21,Netflix,Entertainment,110
2026-07-21,VS Code,Coding,20
2026-07-22,Twitter,Social Media,60
2026-07-22,YouTube,Entertainment,45
2026-07-22,LeetCode,Coding,90
2026-07-22,Coursera,Education,35
2026-07-23,Instagram,Social Media,150
2026-07-23,Netflix,Entertainment,140
2026-07-23,WhatsApp,Social Media,45
2026-07-24,Instagram,Social Media,100
2026-07-24,YouTube,Entertainment,120
2026-07-24,LeetCode,Coding,40
2026-07-24,Coursera,Education,30
2026-07-25,Twitter,Social Media,55
2026-07-25,Netflix,Entertainment,80
2026-07-25,VS Code,Coding,100
2026-07-25,WhatsApp,Social Media,30
2026-07-26,Instagram,Social Media,140
2026-07-26,YouTube,Entertainment,100
2026-07-26,LeetCode,Coding,25
2026-07-27,Twitter,Social Media,65
2026-07-27,Netflix,Entertainment,95
2026-07-27,VS Code,Coding,80
2026-07-27,Coursera,Education,40
2026-07-28,Instagram,Social Media,120
2026-07-28,YouTube,Entertainment,70
2026-07-28,LeetCode,Coding,60
2026-07-28,WhatsApp,Social Media,50
2026-07-29,Twitter,Social Media,45
2026-07-29,Netflix,Entertainment,60
2026-07-29,VS Code,Coding,110
2026-07-29,Coursera,Education,25
2026-07-30,Instagram,Social Media,160
2026-07-30,YouTube,Entertainment,130
2026-07-30,LeetCode,Coding,30
2026-07-31,Instagram,Social Media,85
2026-07-31,Netflix,Entertainment,70
2026-07-31,VS Code,Coding,95
2026-07-31,Coursera,Education,45
2026-08-01,Twitter,Social Media,50
2026-08-01,YouTube,Entertainment,55
2026-08-01,LeetCode,Coding,120
